TITLE,BREADCRUMB NAVIGATION,URL,Status
Cách để thay đổi giá mặc định của báo giá,Cách báo giá và xuất bản vẽ > Báo giá,https://jega.vn/vi/trung-tam-huong-dan/cach-de-thay-doi-gia-mac-dinh-cua-bao-gia-ic530.html,"Đã hoàn thành"
Tại sao báo giá không hiển thị số tiền?,Cách báo giá và xuất bản vẽ > Báo giá,https://jega.vn/vi/trung-tam-huong-dan/tai-sao-bao-gia-khong-hien-thi-so-tien-ic531.html,"Đã hoàn thành"
Thiết lập tài khoản - Quản lý dự án,Thiết lập tài khoản > Thiết lập tài khoản - Quản lý dự án,https://jega.vn/vi/trung-tam-huong-dan/cach-de-sua-doi-ten-du-an-ic527.html,"Đã hoàn thành"
Cách để thay thế logo trên báo giá?,Cách báo giá và xuất bản vẽ > Báo giá,https://jega.vn/vi/trung-tam-huong-dan/cach-de-thay-the-logo-tren-bao-gia-ic532.html,"Đã hoàn thành"
Cách để thay thế logo trên báo giá?,Cách báo giá và xuất bản vẽ > Báo giá,https://jega.vn/vi/trung-tam-huong-dan/cach-de-thay-the-logo-tren-bao-gia-ic532.html,"Đã hoàn thành"
Tại sao không thể nhận được báo giá,Cách báo giá và xuất bản vẽ > Báo giá,https://jega.vn/vi/trung-tam-huong-dan/tai-sao-khong-the-nhan-duoc-bao-gia-ic533.html,"Đã hoàn thành"
Báo giá toàn bộ ngôi nhà,Cách báo giá và xuất bản vẽ > Báo giá,https://jega.vn/vi/trung-tam-huong-dan/bao-gia-toan-bo-ngoi-nha-ic534.html,"Đã hoàn thành"
Trần và tường - Tấm ốp trần,Thiết kế xây dựng > Trần và tường - Tấm ốp trần,https://jega.vn/vi/trung-tam-huong-dan/tam-op-tran-icXXX.html,"Chưa triển khai - URL lỗi"
Cách để tăng kích thước của tấm ốp trần,Thiết kế xây dựng > Trần và tường - Tấm ốp trần,https://jega.vn/vi/trung-tam-huong-dan/cach-de-tang-kich-thuoc-cua-tam-op-tran-ic528.html,"Đã hoàn thành"
Tại sao tôi không thể nhìn thấy đèn Spotlight sau khi lắp đặt tấm ốp trần?,Thiết kế xây dựng > Trần và tường - Tấm ốp trần,https://jega.vn/vi/trung-tam-huong-dan/tai-sao-toi-khong-the-nhin-thay-den-spotlight-sau-khi-lap-dat-tam-op-tran-ic529.html,"Đã hoàn thành"
Cách để thay đổi vật liệu của tấm ốp trần?,Thiết kế xây dựng > Trần và tường - Tấm ốp trần,https://jega.vn/vi/trung-tam-huong-dan/cach-de-thay-doi-vat-lieu-cua-tam-op-tran-ic535.html,"Đã hoàn thành"
Cách để di chuyển tấm ốp trần,Thiết kế xây dựng > Trần và tường - Tấm ốp trần,https://jega.vn/vi/trung-tam-huong-dan/cach-de-di-chuyen-tam-op-tran-ic536.html,"Đã hoàn thành"
Cách xoay tấm ốp,Thiết kế xây dựng > Trần và tường - Tấm ốp trần,https://jega.vn/vi/trung-tam-huong-dan/cach-xoay-tam-op-ic538.html,"Đã hoàn thành"
Sự khác biệt giữa ốp cách quãng và ốp liên tục,Thiết kế xây dựng > Trần và tường - Tấm ốp trần,https://jega.vn/vi/trung-tam-huong-dan/su-khac-biet-giua-op-cach-quang-va-op-lien-tuc-ic537.html,"Đã hoàn thành"
Cách sắp xếp các tấm ốp cách đều nhau,Thiết kế xây dựng > Trần và tường - Tấm ốp trần,https://jega.vn/vi/trung-tam-huong-dan/cach-sap-xep-cac-tam-op-cach-deu-nhau-ic540.html,"Đã hoàn thành"
Tấm ốp chuyển sang màu đen,Thiết kế xây dựng > Trần và tường - Tấm ốp trần,https://jega.vn/vi/trung-tam-huong-dan/tam-op-chuyen-sang-mau-den-ic541.html,"Đã hoàn thành"
Cách lắp đèn downlight,Thiết kế xây dựng > Trần và tường - Hỏi đáp,https://jega.vn/vi/trung-tam-huong-dan/cach-lap-den-downlight-ic508.html,"Đã hoàn thành"
Cách để xóa trần nhà,Thiết kế xây dựng > Trần và tường - Hỏi đáp,https://jega.vn/vi/trung-tam-huong-dan/cach-de-xoa-tran-nha-ic509.html,"Đã hoàn thành"
Cách chuyển đổi cạnh thẳng thành cạnh cong trong tùy chỉnh trần nhà,Thiết kế xây dựng > Trần và tường - Hỏi đáp,https://jega.vn/vi/trung-tam-huong-dan/cach-chuyen-doi-canh-thang-thanh-canh-cong-trong-tuy-chinh-tran-nha-ic511.html,"Chưa triển khai"
Cách lắp đặt tấm ốp phào chỉ,Thiết kế xây dựng > Trần và tường - Hỏi đáp,https://jega.vn/vi/trung-tam-huong-dan/cach-lap-dat-tam-op-phao-chi-ic512.html,"Chưa triển khai"
Cách sửa đổi khoảng cách từ trần tùy chỉnh tới trần thô,Thiết kế xây dựng > Trần và tường - Hỏi đáp,https://jega.vn/vi/trung-tam-huong-dan/cach-sua-doi-khoang-cach-tu-tran-tuy-chinh-toi-tran-tho-ic513.html,"Chưa triển khai"
Cách lắp đặt phào nhôm,Thiết kế xây dựng > Trần và tường - Hỏi đáp,https://jega.vn/vi/trung-tam-huong-dan/cach-lap-dat-phao-nhom-ic515.html,"Chưa triển khai"
Hướng dẫn làm cửa vòm ở tường,Thiết kế xây dựng > Trần và tường - Hỏi đáp,https://jega.vn/vi/trung-tam-huong-dan/huong-dan-lam-cua-vom-o-tuong-ic516.html,"Chưa triển khai"
Cách làm trần nhà hai lớp,Thiết kế xây dựng > Trần và tường - Hỏi đáp,https://jega.vn/vi/trung-tam-huong-dan/cach-lam-tran-nha-hai-lop-ic518.html,"Chưa triển khai"
Tại sao không thể tạo trần nhà cho toàn bộ phòng,Thiết kế xây dựng > Trần và tường - Hỏi đáp,https://jega.vn/vi/trung-tam-huong-dan/tai-sao-khong-the-tao-tran-nha-cho-toan-bo-phong-ic519.html,"Chưa triển khai"
Cách xử lý bóng đen trên trần nhà,Thiết kế xây dựng > Trần và tường - Hỏi đáp,https://jega.vn/vi/trung-tam-huong-dan/cach-xu-ly-bong-den-tren-tran-nha-ic550.html,"Chưa triển khai"
Cách để ẩn hoặc sửa đổi phào trần và phào chân tường,Thiết kế xây dựng > Trần và tường - Hỏi đáp,https://jega.vn/vi/trung-tam-huong-dan/cach-de-an-hoac-sua-doi-phao-tran-va-phao-chan-tuong-ic521.html,"Chưa triển khai"
Cách thiết kế đường chiếu sáng trên tường,Thiết kế xây dựng > Trần và tường - Hỏi đáp,https://jega.vn/vi/trung-tam-huong-dan/cach-thiet-ke-duong-chieu-sang-tren-tuong-ic526.html,"Chưa triển khai"
Tạo sao chép nhiều tấm ốp trong trần tùy chỉnh,Thiết kế xây dựng > Trần và tường - Thiết kế không đều,https://jega.vn/vi/trung-tam-huong-dan/tao-sao-chep-nhieu-tam-op-trong-tran-tuy-chinh-ic486.html,"Chưa triển khai"
Cách vẽ cầu thang mở ở tầng hai,Thiết kế xây dựng > Trần và tường - Thiết kế không đều,https://jega.vn/vi/trung-tam-huong-dan/cach-ve-cau-thang-mo-o-tang-hai-ic487.html,"Chưa triển khai"
Cách tạo dải sáng trần,Thiết kế xây dựng > Trần và tường - Thiết kế không đều,https://jega.vn/vi/trung-tam-huong-dan/cach-tao-dai-sang-tran-ic489.html,"Chưa triển khai"
Cách vẽ trần nhà không đều,Thiết kế xây dựng > Trần và tường - Thiết kế không đều,https://jega.vn/vi/trung-tam-huong-dan/cach-ve-tran-nha-khong-deu-ic491.html,"Chưa triển khai"
Cách để thêm dải đèn mà không cần phào thạch cao?,Thiết kế xây dựng > Trần và tường - Thiết kế không đều,https://jega.vn/vi/trung-tam-huong-dan/cach-de-them-dai-den-ma-khong-can-phao-thach-cao-ic492.html,"Chưa triển khai"
Cách tạo hình dạng tường không đều,Thiết kế xây dựng > Trần và tường - Thiết kế không đều,https://jega.vn/vi/trung-tam-huong-dan/cach-tao-hinh-dang-tuong-khong-deu-ic494.html,"Chưa triển khai"
Hướng dẫn làm trần nhà thả xuống,Thiết kế xây dựng > Trần và tường - Thiết kế không đều,https://jega.vn/vi/trung-tam-huong-dan/huong-dan-lam-tran-nha-tha-xuong-ic495.html,"Chưa triển khai"
Tấm ốp tường tích hợp,Thiết kế xây dựng > Trần và tường - Thiết kế không đều,https://jega.vn/vi/trung-tam-huong-dan/tam-op-tuong-tich-hop-ic497.html,"Chưa triển khai"
Hướng dẫn tạo khe đặt đèn led trần,Thiết kế xây dựng > Trần và tường - Thiết kế không đều,https://jega.vn/vi/trung-tam-huong-dan/huong-dan-tao-khe-dat-den-led-tran-ic498.html,"Chưa triển khai"
Cách thiết kế dải đèn LED cong trên tường,Thiết kế xây dựng > Trần và tường - Thiết kế không đều,https://jega.vn/vi/trung-tam-huong-dan/cach-thiet-ke-dai-den-led-cong-tren-tuong-ic499.html,"Chưa triển khai"
Cách tạo lỗ âm tường,Thiết kế xây dựng > Trần và tường - Thiết kế không đều,https://jega.vn/vi/trung-tam-huong-dan/cach-tao-lo-am-tuong-ic502.html,"Chưa triển khai"
